Date, Open, High, Low, Close
7/8/2020,795.57,801.75,785.3,791.85
7/7/2020,796.93,802.43,787.23,787.28
7/6/2020,809.56,811.28,798.01,805.84
7/2/2020,796.67,808.42,787.87,790.09
7/1/2020,793.32,794.55,772.96,779.85
6/30/2020,778.37,795.14,774.36,791.98
6/29/2020,778.26,791.86,775.48,785.5
6/26/2020,789.14,789.95,768.87,770.2
6/25/2020,782.06,800.3,777.55,800.29
6/24/2020,801.08,801.69,776.9,782.74
6/23/2020,819.36,822.37,810.79,810.79
6/22/2020,796.97,805.3,794.78,801.58
6/19/2020,815.84,818,792.34,795.46
6/18/2020,798.96,814.35,797.57,808.29
6/17/2020,826.32,828.39,814.03,815.56
6/16/2020,836.13,843.27,813.93,830.16
6/15/2020,767.27,807.61,764.77,802.38
6/12/2020,803.3,812.98,783.47,800.65
6/11/2020,800.36,808.74,764.02,765.56
6/10/2020,866.12,867.89,843.04,846.35
6/9/2020,864.2,869.2,852.55,867.83
6/8/2020,880.57,888.88,866.47,887.9
6/5/2020,867.63,880.39,853.86,858.03
6/4/2020,814.08,833.92,806.85,833.71
6/3/2020,807.54,821.97,804.32,817.57
6/2/2020,775.5,789.49,774.32,785.91
6/1/2020,755.52,767.13,752.55,761.8
5/29/2020,741.74,752.61,733.91,749.21
5/28/2020,760.24,760.24,740.3,742.38
5/27/2020,736.59,754.62,731.92,753.87
5/26/2020,718.23,725.22,714.56,718.45
5/22/2020,693.76,693.79,682.71,692.5
5/21/2020,702.21,711.46,695.25,696.52
5/20/2020,702.53,713.94,701.1,703.07
5/19/2020,694.01,704.38,686.96,690.71
5/18/2020,682.08,699.4,682.08,697.24
5/15/2020,641.63,653.04,635.71,645.87
5/14/2020,614.58,641.48,605.86,641.48
5/13/2020,651.42,651.52,623.59,630.72
5/12/2020,671.29,682.39,652.01,652.01
5/11/2020,679.99,680.5,665.03,667.95
5/8/2020,685.04,702.07,684.2,702.06
5/7/2020,668.22,679.04,668.22,671.22
5/6/2020,664.19,667.5,650.17,654.91
5/5/2020,677.71,689.14,660.83,661.38
5/4/2020,651.42,669.44,648.28,667.9
5/1/2020,664.66,674.04,655.8,662.22
4/30/2020,702.92,707.55,682.25,685.03
4/29/2020,691.39,729.06,691.35,725.12
4/28/2020,675.19,681.32,657.88,672.57
4/27/2020,643,666.01,638.18,661.96
4/24/2020,652.07,654.38,628.95,636.46
4/23/2020,642.09,665.9,640.6,644.96
4/22/2020,638.64,639.48,630.91,635.97
4/21/2020,621.48,628.17,612.2,623.61
4/20/2020,643.81,651.98,633.6,636.54
4/17/2020,658.29,663.51,649.47,660.67
4/16/2020,640.4,640.69,623.21,634.98
4/15/2020,641.1,641.39,626.32,636.37
4/14/2020,685.09,693.72,668.45,673.14
4/13/2020,677.74,679.21,658.27,669.82
4/9/2020,680.18,694.19,667.39,675.34
4/8/2020,647.64,668.25,642.34,663.18
4/7/2020,666.18,668.87,639.38,640.73
4/6/2020,621.58,637.2,621.54,632.95
4/3/2020,610.93,617.25,586.74,593.23
4/2/2020,613.49,633.54,599.08,615.85
4/1/2020,610.29,625.35,602.18,606.93
3/31/2020,623.37,647.03,620.16,630.61
3/30/2020,607.78,615.88,594.7,614.17
3/27/2020,601.34,617.6,599.99,603.19
3/26/2020,615.56,639.66,608.83,634.69
3/25/2020,590.48,624.57,574.6,603.34
3/24/2020,565.32,583.41,562.32,582.2
3/23/2020,534.72,538.98,512.29,520.97
3/20/2020,561.7,583.15,536.85,539.41
3/19/2020,527.12,562.03,507.13,552.98
3/18/2020,570.75,573.56,518.07,530.45
3/17/2020,590.22,620.79,575.98,605.07
3/16/2020,660.49,660.49,581.98,584.41
3/13/2020,618.96,670.58,610.72,668.14
3/12/2020,634.21,634.21,581.44,594.56
3/11/2020,714.27,719.34,665.01,680.51
3/10/2020,729.54,740.65,697.16,736.91
3/9/2020,757.53,757.53,689.14,689.9
3/6/2020,822.97,829.85,796.88,806.55
3/5/2020,869.34,871.22,835.67,848.37
3/4/2020,883.72,894.02,874.05,892.63
3/3/2020,885.06,907.57,856.3,866.61
3/2/2020,859.38,878.58,846.16,878.47
2/28/2020,838.99,860.03,829.62,854.34
2/27/2020,879.87,896.29,859.91,866.21
2/26/2020,917.36,925.32,899.62,900.44
2/25/2020,944.54,945.37,905.26,910.98
2/24/2020,954.51,954.51,933.17,939.61
2/21/2020,981.82,986.76,973.23,985.83
2/20/2020,1001.03,1003.69,988.32,993.01
2/19/2020,1001.96,1010.12,1001.31,1006.51
2/18/2020,999.5,1007,992.82,998.99
2/14/2020,1016.72,1016.72,1000.94,1004.37
2/13/2020,1017.99,1021.75,1012.02,1015.58
2/12/2020,1031.03,1039.04,1023.86,1025.43
2/11/2020,1012.76,1028.85,1012.66,1018.67
2/10/2020,1004.69,1008.15,997.59,1000.77
2/7/2020,1021.11,1021.11,1006.79,1009.04
2/6/2020,1047.54,1047.54,1029.64,1031.54
2/5/2020,1031.54,1034.78,1025.02,1031.98
2/4/2020,1002.88,1018.71,1002.8,1015.77
2/3/2020,980.58,988.71,978.84,984.1
1/31/2020,994.56,995.14,973.61,977.23
1/30/2020,991.84,1008.59,985.27,1008.4
1/29/2020,1012.79,1016.17,1005.17,1005.65
1/28/2020,1019.1,1021.65,1007.97,1011.17
1/27/2020,1024.85,1024.85,1004.15,1006.92
1/24/2020,1072.56,1072.56,1042.66,1051.57
1/23/2020,1071.21,1074.9,1054.63,1074.1
1/22/2020,1079.33,1084.88,1074.12,1081.45
1/21/2020,1089.34,1089.34,1066.52,1068.72
1/17/2020,1098.01,1099.87,1090.01,1097.23
1/16/2020,1092.98,1094.15,1083.25,1087.07
1/15/2020,1098.19,1099.07,1083.96,1088.3
1/14/2020,1095.93,1108.52,1095.76,1103
1/13/2020,1081.92,1098.62,1080.29,1097.49
1/10/2020,1086.21,1092.16,1075.91,1077.63
1/9/2020,1091.39,1092.17,1079.46,1084.98
1/8/2020,1087.53,1101.06,1086.52,1092.06
1/7/2020,1080.13,1095.08,1079.63,1088.77
1/6/2020,1087.78,1090.28,1076.96,1080.33
1/3/2020,1094.24,1098.07,1090.41,1091.15
1/2/2020,1111.64,1114.2,1100.86,1106.12
12/31/2019,1096.91,1102.88,1095.64,1099.33
12/30/2019,1101.88,1106.38,1097.4,1098.31
12/27/2019,1109.41,1109.53,1097.4,1099.25
12/26/2019,1111.09,1113.65,1105.22,1110.98
12/24/2019,1103.55,1112.17,1103.29,1105.22
12/23/2019,1098.1,1102.79,1097.51,1102.79
12/20/2019,1101.55,1104.29,1092.95,1094.58
12/19/2019,1104.31,1106.76,1099.36,1099.67
12/18/2019,1103.23,1105.33,1097.99,1103.37
12/17/2019,1094.41,1106.16,1094.18,1104.07
12/16/2019,1112.78,1113.66,1093.16,1093.45
12/13/2019,1109.91,1120.5,1093.06,1098.66
12/12/2019,1084.33,1110.5,1082.74,1109.11
12/11/2019,1082.79,1091.57,1082.42,1087.33
12/10/2019,1079.49,1086.84,1076.74,1079.72
12/9/2019,1081.97,1092.37,1080.72,1081
12/6/2019,1063.7,1083.37,1063.7,1078.6
12/5/2019,1054.53,1057.31,1046.16,1055.87
12/4/2019,1048.16,1060.07,1046.65,1052.56
12/3/2019,1035.85,1037.22,1024.74,1037.15
12/2/2019,1044.19,1058.32,1044.19,1054.94
11/29/2019,1049.42,1057.51,1042.86,1043.79
11/27/2019,1053.15,1057.51,1045.86,1057.51
11/26/2019,1052.74,1055.83,1045.49,1053.79
11/25/2019,1037.91,1056.98,1037.27,1051.67
11/22/2019,1024.6,1037.87,1024.6,1032.78
11/21/2019,1004.88,1014.04,999.63,1011.88
11/20/2019,1001.9,1015.28,995.56,1001.98
11/19/2019,1021.21,1021.82,1005.06,1010.51
11/18/2019,1008.02,1011.72,1000.57,1011.16
11/15/2019,1008.16,1017.84,1008.16,1014.16
11/14/2019,1002.98,1007.95,996.87,1000.18
11/13/2019,1012.64,1016.9,1001.83,1003.85
11/12/2019,1031.2,1036.05,1022.69,1024.63
11/11/2019,1026.18,1033.3,1018.15,1030.87
11/8/2019,1039.05,1042.76,1029.63,1037.88
11/7/2019,1032.7,1054.78,1032.7,1047.62
11/6/2019,1037.17,1038.4,1025.57,1030.16
11/5/2019,1041.88,1052.31,1041.88,1044.39
11/4/2019,1029.45,1043.94,1029.45,1039.7
11/1/2019,997.07,1028.02,997.07,1024.32
10/31/2019,988.04,991.6,973.34,981.77
10/30/2019,997.29,997.29,985.91,996.66
10/29/2019,1001.1,1010.04,1001.03,1006.09
10/28/2019,987.53,1006.73,987.53,1004.36
10/25/2019,976.76,992.52,975.12,985.44
10/24/2019,980.66,981.14,959.83,970.24
10/23/2019,973.9,977.2,967.9,974.3
10/22/2019,962.67,976.16,957.54,973.29
10/21/2019,959.77,973.53,959.77,961.27
10/18/2019,953.76,964.31,952.55,953.26
10/17/2019,956.92,962.23,947.88,953.7
10/16/2019,963.74,966.64,947.29,949.86
10/15/2019,961.52,979.21,955.74,968.98
10/14/2019,977.79,977.79,960.42,961.56
10/11/2019,947.99,987.67,947.99,981.56
10/10/2019,925.22,947.45,925.04,944.94
10/9/2019,924.05,925.86,909.53,918.05
10/8/2019,925.44,927.44,916.99,917.64
10/7/2019,941.51,949.04,933.61,934.72
10/4/2019,934.42,944.51,934.17,944.22
10/3/2019,922.59,934.52,912.3,932.16
10/2/2019,939.94,939.94,919.68,923.79
10/1/2019,965.29,979.91,950.86,952.21
9/30/2019,960.83,968.53,951.32,965.09
9/27/2019,960.72,970.89,957.65,961.86
9/26/2019,974.28,974.28,956.75,961.09
9/25/2019,952.8,977.32,950.02,976.1
9/24/2019,982.09,982.09,954.32,957.96
9/23/2019,972.57,990.02,968.59,985.71
9/20/2019,993.24,1001.47,983.2,986.94
9/19/2019,994.97,1003.16,990.48,993.03
9/18/2019,1020.88,1024.42,998.6,1009.25
9/17/2019,1028.39,1028.39,1008.75,1022.43
9/16/2019,1026.91,1038.48,1024.81,1031.81
9/13/2019,1044.32,1047.24,1033.7,1035.27
9/12/2019,1024.81,1031.85,1009.13,1027.94
9/11/2019,1001.89,1021.68,995.57,1021.36
9/10/2019,975.32,1001.78,971.75,1001.78
9/9/2019,948.29,971.43,948.29,971.34
9/6/2019,952.92,955.98,943.93,944.23
9/5/2019,940.73,965.49,940.73,953.02
9/4/2019,906.99,933.9,906.99,933.9
9/3/2019,927.11,927.11,899.65,905.17
8/30/2019,931.75,937.43,923.42,929.36
8/28/2019,883.38,900.75,878.49,896.9
8/27/2019,898.37,903.16,883.48,883.74
8/26/2019,900.11,904.07,889.02,893.42
8/23/2019,912.32,924.6,890.25,892.05
8/22/2019,928.61,929.56,910.51,915.99
8/21/2019,930.23,931.42,921.01,925.84
8/20/2019,926.04,933.07,918.17,925.58
8/19/2019,930.91,938.2,926.04,927.38
8/16/2019,908.33,921.93,905.99,917.52
8/15/2019,916.2,916.2,890.87,902.87
8/14/2019,937.31,937.31,912.93,913.21
8/13/2019,927.82,967.5,925.41,956.18
8/12/2019,950.89,950.89,926.9,928.85
8/9/2019,976.61,978.74,956.81,958.24
8/8/2019,977.64,991.03,976.51,990.58
8/7/2019,978.93,978.93,954.58,970.1
8/6/2019,983.28,987.43,963.68,979.94
8/5/2019,989.08,989.08,969.23,976.68
8/2/2019,1023.11,1023.89,1002.1,1012.86
8/1/2019,1065.97,1065.97,1028,1033.68
7/31/2019,1095.72,1097.77,1059.17,1066.33
7/30/2019,1092.02,1094.15,1076.04,1093.97
